cat1,cat2,old_cat3,new_cat3,samples,merge_type
beauty,skin care,juices,skin care other,1,other (very rare)
beauty,skin care,sleep snoring,skin care other,1,other (very rare)
beauty,skin care,daily living aids,skin care other,1,other (very rare)
beauty,skin care,board games,skin care other,1,other (very rare)
beauty,skin care,household cleaning,skin care other,1,other (very rare)
beauty,skin care,foot care,skin care other,1,other (very rare)
beauty,skin care,men s,skin care other,1,other (very rare)
beauty,makeup,makeup remover,eyes,9,similar (score: 0.68)
beauty,makeup,body,face,7,similar (score: 0.76)
beauty,makeup,cleansers,makeup other,1,other (very rare)
beauty,hair care,shampoo plus conditioner,shampoo conditioner sets,5,similar (score: 0.65)
beauty,hair care,hair relaxers,hair care other,2,other (very rare)
beauty,hair care,coffee,hair care other,1,other (very rare)
beauty,hair care,vitamins supplements,hair care other,1,other (very rare)
beauty,hair care,men s,hair care other,1,other (very rare)
beauty,hair care,grooming,hair care other,1,other (very rare)
beauty,hair care,hands nails,hair care other,1,other (very rare)
beauty,hair care,shaving hair removal,hair care other,1,other (very rare)
beauty,bath body,bathing accessories,cleansers,11,similar (score: 0.62)
beauty,bath body,scrubs body treatments,cleansers,10,similar (score: 0.66)
beauty,bath body,styling tools,bath body other,8,other (no good match)
beauty,bath body,face,bath body other,2,other (very rare)
beauty,bath body,sets,bath body other,2,other (very rare)
beauty,bath body,pretend play,bath body other,1,other (very rare)
beauty,bath body,shampoos,bath body other,1,other (very rare)
beauty,bath body,men s,bath body other,1,other (very rare)
beauty,bath body,trading card games,bath body other,1,other (very rare)
beauty,tools accessories,bags cases,makeup brushes tools,7,similar (score: 0.65)
beauty,tools accessories,cotton swabs,tools accessories other,3,other (very rare)
beauty,tools accessories,hair coloring tools,tools accessories other,2,other (very rare)
beauty,tools accessories,facial steamers,tools accessories other,2,other (very rare)
beauty,tools accessories,braces,tools accessories other,1,other (very rare)
beauty,tools accessories,skin care,tools accessories other,1,other (very rare)
baby products,nursery,backpacks carriers,nursery other,3,other (very rare)
baby products,nursery,craft kits,nursery other,3,other (very rare)
baby products,nursery,toys,nursery other,2,other (very rare)
baby products,nursery,alternative medicine,nursery other,2,other (very rare)
baby products,nursery,beds furniture,nursery other,2,other (very rare)
baby products,nursery,bottle feeding,nursery other,2,other (very rare)
baby products,nursery,baby gyms playmats,nursery other,1,other (very rare)
baby products,nursery,drawing painting supplies,nursery other,1,other (very rare)
baby products,nursery,bathing tubs seats,nursery other,1,other (very rare)
baby products,nursery,face,nursery other,1,other (very rare)
baby products,nursery,gates doorways,nursery other,1,other (very rare)
baby products,nursery,eye care,nursery other,1,other (very rare)
baby products,nursery,potties seats,nursery other,1,other (very rare)
baby products,nursery,science,nursery other,1,other (very rare)
baby products,nursery,pretend play,nursery other,1,other (very rare)
baby products,nursery,accessories,nursery other,1,other (very rare)
baby products,nursery,electronic toys,nursery other,1,other (very rare)
baby products,nursery,eyes,nursery other,1,other (very rare)
baby products,nursery,health care,nursery other,1,other (very rare)
baby products,nursery,monitors,nursery other,1,other (very rare)
baby products,nursery,playards,nursery other,1,other (very rare)
baby products,nursery,animals figures,nursery other,1,other (very rare)
baby products,diapering,changing table pads covers,diapering other,9,other (no good match)
baby products,diapering,diaper stackers caddies,diapering other,4,other (very rare)
baby products,diapering,diaper pails refills,diapering other,4,other (very rare)
baby products,diapering,cloth diapers,diapering other,2,other (very rare)
baby products,diapering,diaper changing kits,diapering other,1,other (very rare)
baby products,diapering,carriers travel products,diapering other,1,other (very rare)
baby products,diapering,baby seats,diapering other,1,other (very rare)
baby products,gifts,keepsakes,gifts other,3,other (very rare)
baby products,gifts,albums,gifts other,2,other (very rare)
baby products,gifts,incontinence,gifts other,2,other (very rare)
baby products,gifts,toy banks,gifts other,1,other (very rare)
baby products,gifts,collars,gifts other,1,other (very rare)
baby products,gifts,aquarium lights,gifts other,1,other (very rare)
baby products,gifts,accessories,gifts other,1,other (very rare)
baby products,gifts,animals figures,gifts other,1,other (very rare)
baby products,gifts,beds furniture,gifts other,1,other (very rare)
baby products,gifts,nails,gifts other,1,other (very rare)
baby products,gifts,chocolate gifts,gifts other,1,other (very rare)
baby products,gifts,vitamins supplements,gifts other,1,other (very rare)
baby products,gifts,eyes,gifts other,1,other (very rare)
baby products,gifts,dolls,gifts other,1,other (very rare)
baby products,gifts,music sound,gifts other,1,other (very rare)
baby products,gifts,activity centers entertainers,gifts other,1,other (very rare)
baby products,gifts,cough cold,gifts other,1,other (very rare)
baby products,gifts,play tents tunnels,gifts other,1,other (very rare)
baby products,gifts,toys,gifts other,1,other (very rare)
baby products,gifts,science,gifts other,1,other (very rare)
baby products,potty training,step stools,potty training other,3,other (very rare)
baby products,potty training,training pants,potty training other,3,other (very rare)
baby products,safety,kitchen safety,safety other,9,other (no good match)
baby products,safety,monitors,gates doorways,8,similar (score: 0.56)
baby products,safety,edge corner guards,gates doorways,7,similar (score: 0.57)
baby products,safety,electrical safety,safety other,7,other (no good match)
baby products,safety,bathroom safety,safety other,4,other (very rare)
baby products,safety,cabinet locks straps,safety other,2,other (very rare)
baby products,safety,harnesses leashes,safety other,1,other (very rare)
baby products,safety,sleep positioners,safety other,1,other (very rare)
baby products,safety,collars,safety other,1,other (very rare)
baby products,feeding,pillows stools,highchairs booster seats,6,similar (score: 0.50)
baby products,feeding,pacifiers accessories,feeding other,4,other (very rare)
baby products,feeding,food,feeding other,3,other (very rare)
baby products,feeding,braces,feeding other,2,other (very rare)
baby products,feeding,science,feeding other,1,other (very rare)
baby products,strollers,tandem,strollers other,9,other (no good match)
baby products,strollers,accessories,strollers other,7,other (no good match)
baby products,strollers,standard,strollers other,3,other (very rare)
baby products,strollers,lightweight,strollers other,2,other (very rare)
baby products,strollers,backpacks carriers,strollers other,1,other (very rare)
baby products,gear,baby gyms playmats,backpacks carriers,7,similar (score: 0.71)
baby products,gear,baby seats,gear other,1,other (very rare)
baby products,gear,sports supplements,gear other,1,other (very rare)
baby products,health baby care,sun protection,health baby care other,1,other (very rare)
baby products,bathing skin care,bathing tubs seats,skin care,8,similar (score: 0.54)
baby products,bathing skin care,grooming healthcare kits,skin care,7,similar (score: 0.55)
baby products,bathing skin care,soaps cleansers,skin care,6,similar (score: 0.57)
baby products,bathing skin care,body,bathing skin care other,2,other (very rare)
baby products,bathing skin care,vitamins supplements,bathing skin care other,2,other (very rare)
baby products,bathing skin care,litter housebreaking,bathing skin care other,1,other (very rare)
baby products,bathing skin care,backpacks carriers,bathing skin care other,1,other (very rare)
baby products,bathing skin care,shampoo,bathing skin care other,1,other (very rare)
baby products,bathing skin care,trains accessories,bathing skin care other,1,other (very rare)
baby products,bathing skin care,massage relaxation,bathing skin care other,1,other (very rare)
baby products,bathing skin care,styling tools,bathing skin care other,1,other (very rare)
baby products,bathing skin care,pain relievers,bathing skin care other,1,other (very rare)
baby products,car seats accessories,car seats,car seats accessories other,1,other (very rare)
